2012/09/15 00:00:00<~>BNANY<~>GSM01408B<~>D14082<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01408B<~>D14083<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685A<~>G16851<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685A<~>G16852<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685A<~>G16853<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685B<~>D16851<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685B<~>D16852<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01685B<~>D16853<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>D18821<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>D18822<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>D18823<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>G18821<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>G18822<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM01882A<~>G18823<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM02108A<~>I21080<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM02109A<~>I21090<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM02323A<~>S23230<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM02326A<~>S23260<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM02972A<~>S29720<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM02973A<~>S29730<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM03015A<~>G30151<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03015A<~>G30152<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03015A<~>G30153<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03040A<~>D30402<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03040A<~>G30401<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03040A<~>G30402<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03040A<~>G30403<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM03043A<~>G30431<~>100
